"variable","percent.contribution","permutation.importance","ImpRank","PercContRank","modnr"
"DecemberIcePresence",3.0072,0,16,10,68
"InTrough",2.1346,0.5303,14,11,68
"glacierdist",1.1425,1.215,11,12,68
"meanslope",0.8696,3.7122,10,13,68
"ADPEabund",0.5049,0.5303,13,14,68
"meanbathy",0.397,1.0606,12,15,68
"fastIceRatio",0.0886,0.1464,15,16,68
"PredictabilityDec5Years",0,0,17,17,68
"cont800dist",22.8943,18.6225,1,1,69
"cont300dist",21.0195,14.7885,3,2,69
"EMPEdist",15.9145,16.9794,2,3,69
"distToShore",9.7668,14.2408,4,4,69
"ADPEdist",5.5381,5.4772,7,5,69
"EMPEabund",5.4507,4.9295,8,6,69
"Persistence2Years",4.3967,6.0249,5,7,69
"PredictabilityOct5Years",3.5756,2.1909,11,8,69
"distNearestIceEdge",3.2996,6.0249,6,9,69
"DecemberIcePresence",3.0072,1.6432,12,10,69
"InTrough",2.1346,0,16,11,69
"glacierdist",1.1425,3.9975,9,12,69
"meanslope",0.8696,3.834,10,13,69
"ADPEabund",0.5049,0,15,14,69
"meanbathy",0.397,1.0954,13,15,69
"fastIceRatio",0.0886,0.1512,14,16,69
"PredictabilityDec5Years",0,0,17,17,69
"cont300dist",22.8726,13.7339,2,1,70
"cont800dist",20.9449,21.4592,1,2,70
"distToShore",14.3506,11.1588,4,3,70
"EMPEabund",14.1787,6.867,6,4,70
"EMPEdist",7.2785,11.1588,3,5,70
"distNearestIceEdge",6.3686,7.2961,5,6,70
"Persistence2Years",5.8736,6.867,7,7,70
"PredictabilityOct5Years",2.2263,5.1502,9,8,70
"meanslope",1.2818,6.867,8,9,70
"meanbathy",1.2623,0.4292,15,10,70
"fastIceRatio",1.2144,0.4292,14,11,70
"ADPEabund",1.0463,1.7167,12,12,70
"glacierdist",0.6495,1.2876,13,13,70
"ADPEdist",0.4153,3.4335,10,14,70
"InTrough",0.0366,0,17,15,70
"PredictabilityDec5Years",0,2.1459,11,16,70
"DecemberIcePresence",0,0,16,17,70
"cont800dist",22.8943,20.9367,1,1,71
"cont300dist",21.0195,16.1051,2,2,71
"EMPEdist",15.9145,15.0314,3,3,71
"distToShore",9.7668,12.3473,4,4,71
"ADPEdist",5.5381,4.8315,9,5,71
"EMPEabund",5.4507,5.9052,5,6,71
"Persistence2Years",4.3967,5.3684,7,7,71
"PredictabilityOct5Years",3.5756,0.5368,14,8,71
"distNearestIceEdge",3.2996,5.9052,6,9,71
"DecemberIcePresence",3.0072,0,16,10,71
"InTrough",2.1346,0.5368,13,11,71
"glacierdist",1.1425,4.8315,10,12,71
"meanslope",0.8696,5.3684,8,13,71
"ADPEabund",0.5049,1.0737,11,14,71
"meanbathy",0.397,1.0737,12,15,71
"fastIceRatio",0.0886,0.1482,15,16,71
"PredictabilityDec5Years",0,0,17,17,71
"cont300dist",23.0934,17.5355,2,1,72
"cont800dist",20.8105,21.8009,1,2,72
"distToShore",14.2755,11.3744,4,3,72
"EMPEabund",14.1495,4.7393,8,4,72
"EMPEdist",7.3513,12.3223,3,5,72
"distNearestIceEdge",6.3363,7.109,5,6,72
"Persistence2Years",5.8438,6.6351,6,7,72
"PredictabilityOct5Years",2.215,1.4218,12,8,72
"meanslope",1.2998,6.6351,7,9,72
"meanbathy",1.2559,1.4218,13,10,72
"fastIceRatio",1.2082,0,17,11,72
"ADPEabund",1.0386,1.8957,11,12,72
"glacierdist",0.6396,2.3697,10,13,72
"ADPEdist",0.4824,3.7915,9,14,72
"PredictabilityDec5Years",0,0.9479,14,15,72
"DecemberIcePresence",0,0,15,16,72
"InTrough",0,0,16,17,72
"cont800dist",22.8943,26.0291,1,1,73
"cont300dist",21.0195,17.7219,2,2,73
"EMPEdist",15.9145,17.1681,3,3,73
"distToShore",9.7668,6.6457,4,4,73
"ADPEdist",5.5381,4.4305,7,5,73
"EMPEabund",5.4507,5.5381,6,6,73
"Persistence2Years",4.3967,3.8767,9,7,73
"PredictabilityOct5Years",3.5756,2.7691,10,8,73
"distNearestIceEdge",3.2996,6.0919,5,9,73
"DecemberIcePresence",3.0072,0,16,10,73
"InTrough",2.1346,0.5538,14,11,73
"glacierdist",1.1425,2.3764,11,12,73
"meanslope",0.8696,4.4305,8,13,73
"ADPEabund",0.5049,1.1076,12,14,73
"meanbathy",0.397,1.1076,13,15,73
"fastIceRatio",0.0886,0.1529,15,16,73
"PredictabilityDec5Years",0,0,17,17,73
"cont800dist",22.8943,21.3235,1,1,74
"cont300dist",21.0195,19.7632,2,2,74
"EMPEdist",15.9145,14.5624,3,3,74
"distToShore",9.7668,12.482,4,4,74
"ADPEdist",5.5381,4.1607,8,5,74
"EMPEabund",5.4507,5.7209,5,6,74
"Persistence2Years",4.3967,5.7209,6,7,74
"PredictabilityOct5Years",3.5756,4.1607,9,8,74
"distNearestIceEdge",3.2996,5.7209,7,9,74
"DecemberIcePresence",3.0072,0,15,10,74
"InTrough",2.1346,0,16,11,74
"glacierdist",1.1425,2.6004,10,12,74
"meanslope",0.8696,2.6004,11,13,74
"ADPEabund",0.5049,0,14,14,74
"meanbathy",0.397,1.0402,12,15,74
"fastIceRatio",0.0886,0.1436,13,16,74
"PredictabilityDec5Years",0,0,17,17,74
"cont800dist",23.1428,21.9298,1,1,75
"cont300dist",23.0613,20.614,2,2,75
"EMPEdist",11.9798,14.0351,3,3,75
"Persistence2Years",11.2768,5.7018,6,4,75
"distToShore",8.9947,6.5789,5,5,75
"ADPEdist",4.307,4.386,7,6,75
"PredictabilityOct5Years",4.2412,3.5088,9,7,75
"distNearestIceEdge",4.0225,3.9474,8,8,75
"EMPEabund",3.7739,7.0175,4,9,75
"glacierdist",1.7155,3.0702,11,10,75
"fastIceRatio",1.2138,2.6316,12,11,75
"ADPEabund",1.1951,0.8772,14,12,75
"meanslope",0.4271,1.3158,13,13,75
"meanbathy",0.3385,0.8772,15,14,75
"PredictabilityDec5Years",0.2504,3.0702,10,15,75
"DecemberIcePresence",0.0597,0.4386,16,16,75
"InTrough",0,0,17,17,75
"cont800dist",23.3538,19.6581,1,1,76
"cont300dist",23.1888,17.9487,2,2,76
"EMPEdist",12.0444,14.5299,3,3,76
"Persistence2Years",11.373,4.7009,8,4,76
"distToShore",9.0359,13.2479,4,5,76
"ADPEdist",4.3274,5.5556,6,6,76
"PredictabilityOct5Years",4.2586,1.7094,12,7,76
"distNearestIceEdge",4.0314,3.4188,9,8,76
"EMPEabund",3.4058,5.9829,5,9,76
"glacierdist",1.7548,5.1282,7,10,76
"ADPEabund",1.2007,2.1368,11,11,76
"fastIceRatio",1.1654,2.5641,10,12,76
"meanbathy",0.3401,0.4274,16,13,76
"PredictabilityDec5Years",0.2516,0.8547,15,14,76
"meanslope",0.1842,1.2821,13,15,76
"DecemberIcePresence",0.0842,0.8547,14,16,76
"InTrough",0,0,17,17,76
"cont300dist",24.7612,16.0221,3,1,77
"cont800dist",23.3758,24.8619,1,2,77
"EMPEdist",16.6731,17.6796,2,3,77
"distToShore",9.0995,9.9448,4,4,77
"EMPEabund",5.9497,6.0773,5,5,77
"ADPEdist",4.8721,4.9724,7,6,77
"Persistence2Years",4.4266,3.8674,8,7,77
"distNearestIceEdge",3.6708,3.8674,9,8,77
"PredictabilityOct5Years",3.0451,5.5249,6,9,77
"glacierdist",1.1227,2.7624,10,10,77
"DecemberIcePresence",0.9072,1.105,11,11,77
"InTrough",0.6558,1.105,12,12,77
"fastIceRatio",0.6042,1.105,13,13,77
"ADPEabund",0.5109,0.5525,14,14,77
"meanslope",0.3248,0.5525,15,15,77
"meanbathy",4e-04,0,17,16,77
"PredictabilityDec5Years",0,0,16,17,77
"cont300dist",24.7612,16.2791,3,1,78
"cont800dist",23.3758,24.4186,1,2,78
"EMPEdist",16.6731,16.2791,2,3,78
"distToShore",9.0995,12.2093,4,4,78
"EMPEabund",5.9497,5.814,5,5,78
"ADPEdist",4.8721,5.2326,6,6,78
"Persistence2Years",4.4266,1.7442,11,7,78
"distNearestIceEdge",3.6708,5.2326,7,8,78
"PredictabilityOct5Years",3.0451,2.3256,9,9,78
"glacierdist",1.1227,2.907,8,10,78
"DecemberIcePresence",0.9072,1.1628,14,11,78
"InTrough",0.6558,1.1628,15,12,78
"fastIceRatio",0.6042,1.7442,12,13,78
"ADPEabund",0.5109,1.7442,10,14,78
"meanslope",0.3248,1.7442,13,15,78
"meanbathy",4e-04,0,17,16,78
"PredictabilityDec5Years",0,0,16,17,78
"cont800dist",22.8943,16.7961,2,1,79
"cont300dist",21.0195,16.7961,1,2,79
"EMPEdist",15.9145,15.7124,3,3,79
"distToShore",9.7668,14.6288,4,4,79
"ADPEdist",5.5381,6.5017,6,5,79
"EMPEabund",5.4507,7.0435,5,6,79
"Persistence2Years",4.3967,3.7927,9,7,79
"PredictabilityOct5Years",3.5756,2.1672,11,8,79
"distNearestIceEdge",3.2996,5.9599,7,9,79
"DecemberIcePresence",3.0072,0,16,10,79
"InTrough",2.1346,0.5418,14,11,79
"glacierdist",1.1425,3.9503,8,12,79
"meanslope",0.8696,3.2508,10,13,79
"ADPEabund",0.5049,1.0836,13,14,79
"meanbathy",0.397,1.6254,12,15,79
"fastIceRatio",0.0886,0.1496,15,16,79
"PredictabilityDec5Years",0,0,17,17,79
"cont300dist",22.8726,18.1818,2,1,80
"cont800dist",20.9449,18.6364,1,2,80
"distToShore",14.3506,8.1818,4,3,80
"EMPEabund",14.1787,4.5455,9,4,80
"EMPEdist",7.2785,14.5455,3,5,80
"distNearestIceEdge",6.3686,6.3636,6,6,80
"Persistence2Years",5.8736,7.2727,5,7,80
"PredictabilityOct5Years",2.2263,4.5455,10,8,80
"meanslope",1.2818,6.3636,7,9,80
"meanbathy",1.2623,0.4545,15,10,80
"fastIceRatio",1.2144,1.8182,12,11,80
"ADPEabund",1.0463,1.3636,13,12,80
"glacierdist",0.6495,0.4545,14,13,80
"ADPEdist",0.4153,5,8,14,80
"InTrough",0.0366,0,17,15,80
"PredictabilityDec5Years",0,2.2727,11,16,80
"DecemberIcePresence",0,0,16,17,80
"cont800dist",22.8943,21.3248,1,1,81
"cont300dist",21.0195,18.6592,2,2,81
"EMPEdist",15.9145,14.3943,3,3,81
"distToShore",9.7668,11.7287,4,4,81
"ADPEdist",5.5381,4.265,9,5,81
"EMPEabund",5.4507,4.7981,7,6,81
"Persistence2Years",4.3967,5.3312,5,7,81
"PredictabilityOct5Years",3.5756,4.7981,8,8,81
"distNearestIceEdge",3.2996,5.3312,6,9,81
"DecemberIcePresence",3.0072,0,15,10,81
"InTrough",2.1346,0,16,11,81
"glacierdist",1.1425,2.8247,11,12,81
"meanslope",0.8696,4.265,10,13,81
"ADPEabund",0.5049,1.0662,12,14,81
"meanbathy",0.397,1.0662,13,15,81
"fastIceRatio",0.0886,0.1472,14,16,81
"PredictabilityDec5Years",0,0,17,17,81
"cont300dist",22.8726,16.3551,2,1,82
"cont800dist",20.9449,22.8972,1,2,82
"distToShore",14.3506,7.9439,4,3,82
"EMPEabund",14.1787,6.5421,5,4,82
"EMPEdist",7.2785,14.0187,3,5,82
"distNearestIceEdge",6.3686,6.0748,8,6,82
"Persistence2Years",5.8736,6.0748,7,7,82
"PredictabilityOct5Years",2.2263,1.4019,12,8,82
"meanslope",1.2818,6.5421,6,9,82
"meanbathy",1.2623,0.4673,16,10,82
"fastIceRatio",1.2144,0.9346,14,11,82
"ADPEabund",1.0463,1.4019,11,12,82
"glacierdist",0.6495,3.271,10,13,82
"ADPEdist",0.4153,4.6729,9,14,82
"InTrough",0.0366,0.4673,15,15,82
"PredictabilityDec5Years",0,0.9346,13,16,82
"DecemberIcePresence",0,0,17,17,82
"cont300dist",24.7612,17.0588,2,1,83
"cont800dist",23.3758,18.2353,1,2,83
"EMPEdist",16.6731,16.4706,3,3,83
"distToShore",9.0995,12.3529,4,4,83
"EMPEabund",5.9497,5.2941,7,5,83
"ADPEdist",4.8721,5.2941,6,6,83
"Persistence2Years",4.4266,7.0588,5,7,83
"distNearestIceEdge",3.6708,3.5294,9,8,83
"PredictabilityOct5Years",3.0451,5.2941,8,9,83
"glacierdist",1.1227,0.5882,15,10,83
"DecemberIcePresence",0.9072,2.3529,10,11,83
"InTrough",0.6558,0.5882,14,12,83
"fastIceRatio",0.6042,1.7647,13,13,83
"ADPEabund",0.5109,1.7647,12,14,83
"meanslope",0.3248,2.3529,11,15,83
"meanbathy",4e-04,0,17,16,83
"PredictabilityDec5Years",0,0,16,17,83
"cont300dist",22.8726,13.4884,2,1,84
"cont800dist",20.9449,19.0698,1,2,84
"distToShore",14.3506,10.2326,4,3,84
"EMPEabund",14.1787,6.9767,6,4,84
"EMPEdist",7.2785,12.5581,3,5,84
"distNearestIceEdge",6.3686,7.4419,5,6,84
"Persistence2Years",5.8736,6.9767,7,7,84
"PredictabilityOct5Years",2.2263,4.186,10,8,84
"meanslope",1.2818,6.9767,8,9,84
"meanbathy",1.2623,0.4651,15,10,84
"fastIceRatio",1.2144,0.9302,14,11,84
"ADPEabund",1.0463,1.8605,12,12,84
"glacierdist",0.6495,1.8605,13,13,84
"ADPEdist",0.4153,4.6512,9,14,84
"InTrough",0.0366,0,17,15,84
"PredictabilityDec5Years",0,2.3256,11,16,84
"DecemberIcePresence",0,0,16,17,84
"cont800dist",22.8943,17.832,1,1,85
"cont300dist",21.0195,16.813,3,2,85
"EMPEdist",15.9145,16.813,2,3,85
"distToShore",9.7668,12.2277,4,4,85
"ADPEdist",5.5381,5.0949,7,5,85
"EMPEabund",5.4507,5.6043,6,6,85
"Persistence2Years",4.3967,2.5474,11,7,85
"PredictabilityOct5Years",3.5756,5.0949,8,8,85
"distNearestIceEdge",3.2996,6.1138,5,9,85
"DecemberIcePresence",3.0072,0,16,10,85
"InTrough",2.1346,0.5095,14,11,85
"glacierdist",1.1425,5.0949,9,12,85
"meanslope",0.8696,4.5854,10,13,85
"ADPEabund",0.5049,0.5095,13,14,85
"meanbathy",0.397,1.019,12,15,85
"fastIceRatio",0.0886,0.1407,15,16,85
"PredictabilityDec5Years",0,0,17,17,85
"cont800dist",22.9839,17.3913,3,1,86
"cont300dist",19.7387,20.4969,1,2,86
"EMPEdist",19.4608,18.0124,2,3,86
"distToShore",11.3359,6.8323,4,4,86
"PredictabilityOct5Years",6.5644,5.5901,7,5,86
"ADPEdist",5.5464,3.1056,10,6,86
"Persistence2Years",3.7072,5.5901,6,7,86
"EMPEabund",3.4718,5.5901,5,8,86
"fastIceRatio",2.7358,5.5901,8,9,86
"distNearestIceEdge",1.7544,3.7267,9,10,86
"meanbathy",0.8633,2.4845,11,11,86
"meanslope",0.7095,1.8634,13,12,86
"InTrough",0.5508,1.2422,14,13,86
"ADPEabund",0.3924,0.6211,15,14,86
"DecemberIcePresence",0.1847,1.8634,12,15,86
"glacierdist",1e-04,0,17,16,86
"PredictabilityDec5Years",0,0,16,17,86
"cont800dist",22.8943,21.0457,1,1,87
"cont300dist",21.0195,18.2765,2,2,87
"EMPEdist",15.9145,14.3997,3,3,87
"distToShore",9.7668,9.969,4,4,87
"ADPEdist",5.5381,4.9845,8,5,87
"EMPEabund",5.4507,6.0922,6,6,87
"Persistence2Years",4.3967,5.5383,7,7,87
"PredictabilityOct5Years",3.5756,3.323,10,8,87
"distNearestIceEdge",3.2996,7.1998,5,9,87
"DecemberIcePresence",3.0072,0,15,10,87
"InTrough",2.1346,0,16,11,87
"glacierdist",1.1425,4.0339,9,12,87
"meanslope",0.8696,3.323,11,13,87
"ADPEabund",0.5049,0.5538,13,14,87
"meanbathy",0.397,1.1077,12,15,87
"fastIceRatio",0.0886,0.1529,14,16,87
"PredictabilityDec5Years",0,0,17,17,87
"cont800dist",23.1428,17.0507,2,1,88
"cont300dist",23.0613,19.3548,1,2,88
"EMPEdist",11.9798,15.6682,3,3,88
"Persistence2Years",11.2768,5.9908,6,4,88
"distToShore",8.9947,10.1382,4,5,88
"ADPEdist",4.307,4.6083,7,6,88
"PredictabilityOct5Years",4.2412,0.4608,16,7,88
"distNearestIceEdge",4.0225,4.1475,8,8,88
"EMPEabund",3.7739,7.3733,5,9,88
"glacierdist",1.7155,4.1475,9,10,88
"fastIceRatio",1.2138,3.6866,10,11,88
"ADPEabund",1.1951,2.3041,11,12,88
"meanslope",0.4271,1.8433,12,13,88
"meanbathy",0.3385,1.3825,14,14,88
"PredictabilityDec5Years",0.2504,1.3825,13,15,88
"DecemberIcePresence",0.0597,0.4608,15,16,88
"InTrough",0,0,17,17,88
"cont800dist",22.8943,18.561,1,1,89
"cont300dist",21.0195,15.3791,3,2,89
"EMPEdist",15.9145,15.3791,2,3,89
"distToShore",9.7668,12.7276,4,4,89
"ADPEdist",5.5381,3.7122,10,5,89
"EMPEabund",5.4507,6.8941,5,6,89
"Persistence2Years",4.3967,4.7728,8,7,89
"PredictabilityOct5Years",3.5756,4.7728,9,8,89
"distNearestIceEdge",3.2996,6.3638,6,9,89
"DecemberIcePresence",3.0072,0,16,10,89
"InTrough",2.1346,0.5303,14,11,89
"glacierdist",1.1425,5.4575,7,12,89
"meanslope",0.8696,3.7122,11,13,89
"ADPEabund",0.5049,0.5303,13,14,89
"meanbathy",0.397,1.0606,12,15,89
"fastIceRatio",0.0886,0.1464,15,16,89
"PredictabilityDec5Years",0,0,17,17,89
"cont800dist",22.8943,20.3073,1,1,90
"cont300dist",21.0195,19.1791,2,2,90
"EMPEdist",15.9145,14.1023,3,3,90
"distToShore",9.7668,10.7177,4,4,90
"ADPEdist",5.5381,5.6409,7,5,90
"EMPEabund",5.4507,7.3332,5,6,90
"Persistence2Years",4.3967,4.5127,8,7,90
"PredictabilityOct5Years",3.5756,1.1282,11,8,90
"distNearestIceEdge",3.2996,7.3332,6,9,90
"DecemberIcePresence",3.0072,0,16,10,90
"InTrough",2.1346,0.5641,14,11,90
"glacierdist",1.1425,3.3846,10,12,90
"meanslope",0.8696,3.9486,9,13,90
"ADPEabund",0.5049,0.5641,13,14,90
"meanbathy",0.397,1.1282,12,15,90
"fastIceRatio",0.0886,0.1558,15,16,90
"PredictabilityDec5Years",0,0,17,17,90
"cont300dist",24.7612,17.0455,3,1,91
"cont800dist",23.3758,20.4545,1,2,91
"EMPEdist",16.6731,17.0455,2,3,91
"distToShore",9.0995,14.2045,4,4,91
"EMPEabund",5.9497,6.25,5,5,91
"ADPEdist",4.8721,3.4091,9,6,91
"Persistence2Years",4.4266,2.2727,11,7,91
"distNearestIceEdge",3.6708,5.1136,6,8,91
"PredictabilityOct5Years",3.0451,3.9773,7,9,91
"glacierdist",1.1227,3.9773,8,10,91
"DecemberIcePresence",0.9072,0,15,11,91
"InTrough",0.6558,2.8409,10,12,91
"fastIceRatio",0.6042,1.7045,12,13,91
"ADPEabund",0.5109,0,14,14,91
"meanslope",0.3248,1.7045,13,15,91
"meanbathy",4e-04,0,17,16,91
"PredictabilityDec5Years",0,0,16,17,91
"cont800dist",22.8943,18.3222,1,1,92
"cont300dist",21.0195,16.7055,3,2,92
"EMPEdist",15.9145,17.2444,2,3,92
"distToShore",9.7668,11.8555,4,4,92
"ADPEdist",5.5381,2.6944,11,5,92
"EMPEabund",5.4507,4.85,7,6,92
"Persistence2Years",4.3967,5.9278,6,7,92
"PredictabilityOct5Years",3.5756,3.2333,9,8,92
"distNearestIceEdge",3.2996,7.0055,5,9,92
"DecemberIcePresence",3.0072,0.5389,14,10,92
"InTrough",2.1346,0.5389,15,11,92
"glacierdist",1.1425,4.4679,8,12,92
"meanslope",0.8696,3.2333,10,13,92
"ADPEabund",0.5049,2.1556,12,14,92
"meanbathy",0.397,1.0778,13,15,92
"fastIceRatio",0.0886,0.1488,16,16,92
"PredictabilityDec5Years",0,0,17,17,92
"cont300dist",23.0934,15.2709,2,1,93
"cont800dist",20.8105,21.6749,1,2,93
"distToShore",14.2755,9.3596,4,3,93
"EMPEabund",14.1495,5.9113,7,4,93
"EMPEdist",7.3513,13.7931,3,5,93
"distNearestIceEdge",6.3363,8.3744,5,6,93
"Persistence2Years",5.8438,6.4039,6,7,93
"PredictabilityOct5Years",2.215,4.4335,9,8,93
"meanslope",1.2998,5.9113,8,9,93
"meanbathy",1.2559,0.4926,15,10,93
"fastIceRatio",1.2082,1.9704,12,11,93
"ADPEabund",1.0386,0.4926,14,12,93
"glacierdist",0.6396,2.4631,11,13,93
"ADPEdist",0.4824,2.4631,10,14,93
"PredictabilityDec5Years",0,0.9852,13,15,93
"DecemberIcePresence",0,0,16,16,93
"InTrough",0,0,17,17,93
"cont300dist",22.8726,15,2,1,94
"cont800dist",20.9449,23.6364,1,2,94
"distToShore",14.3506,9.5455,4,3,94
"EMPEabund",14.1787,5.4545,7,4,94
"EMPEdist",7.2785,13.1818,3,5,94
"distNearestIceEdge",6.3686,7.7273,5,6,94
"Persistence2Years",5.8736,5.4545,8,7,94
"PredictabilityOct5Years",2.2263,2.2727,11,8,94
"meanslope",1.2818,6.8182,6,9,94
"meanbathy",1.2623,0.4545,15,10,94
"fastIceRatio",1.2144,1.8182,13,11,94
"ADPEabund",1.0463,2.7273,9,12,94
"glacierdist",0.6495,1.8182,14,13,94
"ADPEdist",0.4153,2.2727,10,14,94
"InTrough",0.0366,0,17,15,94
"PredictabilityDec5Years",0,1.8182,12,16,94
"DecemberIcePresence",0,0,16,17,94
"cont300dist",24.7612,15.3409,3,1,95
"cont800dist",23.3758,19.8864,1,2,95
"EMPEdist",16.6731,15.9091,2,3,95
"distToShore",9.0995,9.6591,4,4,95
"EMPEabund",5.9497,6.8182,6,5,95
"ADPEdist",4.8721,6.8182,5,6,95
"Persistence2Years",4.4266,6.25,7,7,95
"distNearestIceEdge",3.6708,3.4091,10,8,95
"PredictabilityOct5Years",3.0451,6.25,8,9,95
"glacierdist",1.1227,1.1364,14,10,95
"DecemberIcePresence",0.9072,1.1364,11,11,95
"InTrough",0.6558,1.1364,12,12,95
"fastIceRatio",0.6042,1.1364,13,13,95
"ADPEabund",0.5109,3.9773,9,14,95
"meanslope",0.3248,1.1364,15,15,95
"meanbathy",4e-04,0,17,16,95
"PredictabilityDec5Years",0,0,16,17,95
"cont300dist",24.7612,17.6136,2,1,96
"cont800dist",23.3758,19.3182,1,2,96
"EMPEdist",16.6731,15.9091,3,3,96
"distToShore",9.0995,9.0909,4,4,96
"EMPEabund",5.9497,7.3864,5,5,96
"ADPEdist",4.8721,5.6818,7,6,96
"Persistence2Years",4.4266,6.25,6,7,96
"distNearestIceEdge",3.6708,5.1136,9,8,96
"PredictabilityOct5Years",3.0451,5.1136,8,9,96
"glacierdist",1.1227,2.2727,10,10,96
"DecemberIcePresence",0.9072,1.1364,13,11,96
"InTrough",0.6558,1.7045,11,12,96
"fastIceRatio",0.6042,1.7045,12,13,96
"ADPEabund",0.5109,0.5682,15,14,96
"meanslope",0.3248,1.1364,14,15,96
"meanbathy",4e-04,0,17,16,96
"PredictabilityDec5Years",0,0,16,17,96
"cont300dist",24.7612,16.2651,3,1,97
"cont800dist",23.3758,19.8795,1,2,97
"EMPEdist",16.6731,17.4699,2,3,97
"distToShore",9.0995,10.8434,4,4,97
"EMPEabund",5.9497,6.6265,5,5,97
"ADPEdist",4.8721,5.4217,7,6,97
"Persistence2Years",4.4266,6.6265,6,7,97
"distNearestIceEdge",3.6708,5.4217,8,8,97
"PredictabilityOct5Years",3.0451,3.6145,9,9,97
"glacierdist",1.1227,1.8072,13,10,97
"DecemberIcePresence",0.9072,1.8072,11,11,97
"InTrough",0.6558,0,15,12,97
"fastIceRatio",0.6042,1.8072,12,13,97
"ADPEabund",0.5109,1.8072,10,14,97
"meanslope",0.3248,0.6024,14,15,97
"meanbathy",4e-04,0,17,16,97
"PredictabilityDec5Years",0,0,16,17,97
"cont300dist",24.7612,16.3636,3,1,98
"cont800dist",23.3758,21.8182,1,2,98
"EMPEdist",16.6731,18.1818,2,3,98
"distToShore",9.0995,10.303,4,4,98
"EMPEabund",5.9497,4.8485,7,5,98
"ADPEdist",4.8721,6.0606,6,6,98
"Persistence2Years",4.4266,7.8788,5,7,98
"distNearestIceEdge",3.6708,4.2424,9,8,98
"PredictabilityOct5Years",3.0451,4.2424,8,9,98
"glacierdist",1.1227,1.2121,12,10,98
"DecemberIcePresence",0.9072,0.6061,14,11,98
"InTrough",0.6558,1.2121,11,12,98
"fastIceRatio",0.6042,1.8182,10,13,98
"ADPEabund",0.5109,0.6061,13,14,98
"meanslope",0.3248,0.6061,15,15,98
"meanbathy",4e-04,0,17,16,98
"PredictabilityDec5Years",0,0,16,17,98
"cont300dist",24.7612,15.2439,3,1,99
"cont800dist",23.3758,23.1707,1,2,99
"EMPEdist",16.6731,18.2927,2,3,99
"distToShore",9.0995,8.5366,4,4,99
"EMPEabund",5.9497,6.7073,6,5,99
"ADPEdist",4.8721,4.878,8,6,99
"Persistence2Years",4.4266,6.7073,7,7,99
"distNearestIceEdge",3.6708,2.439,10,8,99
"PredictabilityOct5Years",3.0451,7.3171,5,9,99
"glacierdist",1.1227,3.0488,9,10,99
"DecemberIcePresence",0.9072,0.6098,13,11,99
"InTrough",0.6558,1.2195,12,12,99
"fastIceRatio",0.6042,1.8293,11,13,99
"ADPEabund",0.5109,0,14,14,99
"meanslope",0.3248,0,17,15,99
"meanbathy",4e-04,0,16,16,99
"PredictabilityDec5Years",0,0,15,17,99
"cont800dist",23.1428,16.3636,2,1,351
"cont300dist",23.0613,20.9091,1,2,351
"EMPEdist",11.9798,14.5455,3,3,351
"Persistence2Years",11.2768,3.1818,7,4,351
"distToShore",8.9947,13.6364,4,5,351
"ADPEdist",4.307,2.2727,11,6,351
"PredictabilityOct5Years",4.2412,2.7273,10,7,351
"distNearestIceEdge",4.0225,4.5455,6,8,351
"EMPEabund",3.7739,7.7273,5,9,351
"glacierdist",1.6299,3.1818,9,10,351
"fastIceRatio",1.2138,3.1818,8,11,351
"ADPEabund",1.1951,0.9091,15,12,351
"meanslope",0.4271,2.2727,13,13,351
"meanbathy",0.424,1.3636,14,14,351
"PredictabilityDec5Years",0.2504,2.2727,12,15,351
"DecemberIcePresence",0.0597,0.9091,16,16,351
"InTrough",0,0,17,17,351
"cont300dist",23.0934,12.4464,3,1,352
"cont800dist",20.8105,21.03,1,2,352
"distToShore",14.2755,10.3004,4,3,352
"EMPEabund",14.1495,4.2918,10,4,352
"EMPEdist",7.3513,12.8755,2,5,352
"distNearestIceEdge",6.3363,7.2961,5,6,352
"Persistence2Years",5.8438,6.867,6,7,352
"PredictabilityOct5Years",2.215,2.5751,12,8,352
"meanslope",1.2998,5.5794,7,9,352
"meanbathy",1.2559,0.4292,15,10,352
"fastIceRatio",1.2082,2.1459,13,11,352
"ADPEabund",1.0386,0.8584,14,12,352
"glacierdist",0.6396,5.1502,8,13,352
"ADPEdist",0.4824,4.2918,9,14,352
"PredictabilityDec5Years",0,3.8627,11,15,352
"DecemberIcePresence",0,0,16,16,352
"InTrough",0,0,17,17,352
"cont300dist",23.0934,10.5812,4,1,353
"cont800dist",20.8105,25.3948,1,2,353
"distToShore",14.2755,11.6393,3,3,353
"EMPEabund",14.1495,6.3487,6,4,353
"EMPEdist",7.3513,14.2846,2,5,353
"distNearestIceEdge",6.3363,7.9359,5,6,353
"Persistence2Years",5.8438,5.8196,7,7,353
"PredictabilityOct5Years",2.215,3.1744,11,8,353
"meanslope",1.2998,5.2906,8,9,353
"meanbathy",1.2559,0.5291,13,10,353
"fastIceRatio",1.2082,0.0079,14,11,353
"ADPEabund",1.0386,3.1744,10,12,353
"glacierdist",0.6396,0,17,13,353
"ADPEdist",0.4824,4.7615,9,14,353
"PredictabilityDec5Years",0,1.0581,12,15,353
"DecemberIcePresence",0,0,15,16,353
"InTrough",0,0,16,17,353
"cont800dist",22.8943,20.3576,1,1,354
"cont300dist",21.0195,15.6597,3,2,354
